bep  timestamp
0.00999911 1
0.00999984 1
0.00000016 1
0.00000043 1
0.00999948 1
0.00999992 1
0.00000063 1
0.00000035 1
0.00000046 1
0.00000006 1
0.00999910 1
0.00000056 1
0.00000059 1
0.00000078 1
0.00999944 1
0.00000098 1
0.00999952 1
0.00000049 1
0.00000008 1
0.00000069 1
0.00999992 1
0.00999964 1
0.00000030 1
0.00999990 1
0.00000082 1
0.00000080 1
0.00000034 1
0.00999983 1
0.00000072 1
0.00999946 1
0.999911 2
0.999984 2
0.000016 2
0.000043 2
0.999948 2
0.999992 2
0.000063 2
0.000035 2
0.000046 2
0.000006 2
0.99991 2
0.000056 2
0.000059 2
0.000078 2
0.999944 2
0.000098 2
0.999952 2
0.000049 2
0.000008 2
0.000069 2
0.999992 2
0.999964 2
0.00003 2
0.99999 2
0.000082 2
0.00008 2
0.000034 2
0.999983 2
0.000072 2
0.999946 2
